template_path,template_x,template_y,template_w,template_h,query_path,query_x,query_y,query_w,query_h,occlusions
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_Jet3_1/img/00611.jpg,391,343,347,137,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_Jet3_1/img/00711.jpg,548,344,256,117,bc
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/sv_Drone3_5570/img/00451.jpg,626,335,24,26,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/sv_Drone3_5570/img/00551.jpg,666,343,30,29,sv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Jet2_5400/img/00101.jpg,599,320,105,76,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Jet2_5400/img/00201.jpg,608,249,105,67,iv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_Parakeet_7000/img/00021.jpg,443,179,106,92,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_Parakeet_7000/img/00121.jpg,569,183,107,75,bc
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Drone1_2000/img/00271.jpg,666,420,67,134,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Drone1_2000/img/00371.jpg,502,379,82,141,iv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_ISS_1100/img/00271.jpg,819,58,108,136,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_ISS_1100/img/00371.jpg,837,45,127,150,bc
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/fm_Violinist_4098/img/00081.jpg,79,188,103,236,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/fm_Violinist_4098/img/00181.jpg,338,122,83,210,fm
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/occ_Jet1_2800/img/00121.jpg,696,298,62,64,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/occ_Jet1_2800/img/00221.jpg,831,308,62,75,oc
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Alladin_300/img/00181.jpg,462,277,176,439,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Alladin_300/img/00281.jpg,583,414,103,282,iv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_ISS_22400/img/00001.jpg,477,84,196,219,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_ISS_22400/img/00101.jpg,486,138,194,183,iv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/fm_Bike_3081/img/00191.jpg,207,111,98,175,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/fm_Bike_3081/img/00291.jpg,246,149,125,152,fm
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Rope_1200/img/00341.jpg,798,189,99,136,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Rope_1200/img/00441.jpg,787,189,100,136,iv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_Aquarium2_1/img/00371.jpg,831,261,123,66,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_Aquarium2_1/img/00471.jpg,660,259,111,69,bc
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/occ_Alladin_5500/img/00441.jpg,226,120,158,545,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/occ_Alladin_5500/img/00541.jpg,1100,138,165,516,oc
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Dashcam_5200/img/00111.jpg,640,351,71,62,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Dashcam_5200/img/00211.jpg,634,354,71,63,iv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Drone3_2400/img/00271.jpg,701,277,85,74,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/iv_Drone3_2400/img/00371.jpg,628,339,120,107,iv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/fm_Jet4_1939/img/00321.jpg,496,319,119,115,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/fm_Jet4_1939/img/00421.jpg,400,344,116,163,fm
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/sv_Drone3_5570/img/00131.jpg,520,287,43,43,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/sv_Drone3_5570/img/00231.jpg,694,326,41,37,sv
/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_Basketball_1/img/00551.jpg,514,358,27,79,/mnt/hdd1/users/aktgpt/datasets/template_matching/TLPattr/bc_Basketball_1/img/00651.jpg,506,359,27,79,bc
